type,name,x,y,pitch
map_size,,35,21,
start_point,SP1,1,3,
start_point,SP2,1,6,
start_point,SP3,1,9,
start_point,SP4,1,12,
start_point,SP5,1,15,
start_point,SP6,1,18,
start_point,SP7,35,3,
start_point,SP8,35,6,
start_point,SP9,35,9,
start_point,SP10,35,12,
start_point,SP11,35,15,
start_point,SP12,35,18,
end_point,EP1,11,3,
end_point,EP2,12,3,
end_point,EP3,13,3,
end_point,EP4,14,3,
end_point,EP5,22,3,
end_point,EP6,23,3,
end_point,EP7,24,3,
end_point,EP8,25,3,
end_point,EP9,11,7,
end_point,EP10,12,7,
end_point,EP11,13,7,
end_point,EP12,14,7,
end_point,EP13,22,7,
end_point,EP14,23,7,
end_point,EP15,24,7,
end_point,EP16,25,7,
end_point,EP17,11,11,
end_point,EP18,12,11,
end_point,EP19,13,11,
end_point,EP20,14,11,
end_point,EP21,22,11,
end_point,EP22,23,11,
end_point,EP23,24,11,
end_point,EP24,25,11,
end_point,EP25,11,15,
end_point,EP26,12,15,
end_point,EP27,13,15,
end_point,EP28,14,15,
end_point,EP29,22,15,
end_point,EP30,23,15,
end_point,EP31,24,15,
end_point,EP32,25,15,
end_point,EP33,11,19,
end_point,EP34,12,19,
end_point,EP35,13,19,
end_point,EP36,14,19,
end_point,EP37,22,19,
end_point,EP38,23,19,
end_point,EP39,24,19,
end_point,EP40,25,19,
obstacle,,8,3,
obstacle,,9,3,
obstacle,,10,3,
obstacle,,15,3,
obstacle,,16,3,
obstacle,,17,3,
obstacle,,19,3,
obstacle,,20,3,
obstacle,,21,3,
obstacle,,26,3,
obstacle,,27,3,
obstacle,,28,3,
obstacle,,8,7,
obstacle,,9,7,
obstacle,,10,7,
obstacle,,15,7,
obstacle,,16,7,
obstacle,,17,7,
obstacle,,19,7,
obstacle,,20,7,
obstacle,,21,7,
obstacle,,26,7,
obstacle,,27,7,
obstacle,,28,7,
obstacle,,8,11,
obstacle,,9,11,
obstacle,,10,11,
obstacle,,15,11,
obstacle,,16,11,
obstacle,,17,11,
obstacle,,19,11,
obstacle,,20,11,
obstacle,,21,11,
obstacle,,26,11,
obstacle,,27,11,
obstacle,,28,11,
obstacle,,8,15,
obstacle,,9,15,
obstacle,,10,15,
obstacle,,15,15,
obstacle,,16,15,
obstacle,,17,15,
obstacle,,19,15,
obstacle,,20,15,
obstacle,,21,15,
obstacle,,26,15,
obstacle,,27,15,
obstacle,,28,15,
obstacle,,8,19,
obstacle,,9,19,
obstacle,,10,19,
obstacle,,15,19,
obstacle,,16,19,
obstacle,,17,19,
obstacle,,19,19,
obstacle,,20,19,
obstacle,,21,19,
obstacle,,26,19,
obstacle,,27,19,
obstacle,,28,19,
agv,AGV1,4,1,90
agv,AGV2,6,1,90
agv,AGV3,8,1,90
agv,AGV4,10,1,90
agv,AGV5,12,1,90
agv,AGV6,14,1,90
agv,AGV7,16,1,90
agv,AGV8,18,1,90
agv,AGV9,20,1,90
agv,AGV10,22,1,90
agv,AGV11,24,1,90
agv,AGV12,26,1,90
agv,AGV13,28,1,90
agv,AGV14,30,1,90
agv,AGV15,32,1,90
agv,AGV16,4,21,270
agv,AGV17,6,21,270
agv,AGV18,8,21,270
agv,AGV19,10,21,270
agv,AGV20,12,21,270
agv,AGV21,14,21,270
agv,AGV22,16,21,270
agv,AGV23,18,21,270
agv,AGV24,20,21,270
agv,AGV25,22,21,270
agv,AGV26,24,21,270
agv,AGV27,26,21,270
agv,AGV28,28,21,270
agv,AGV29,30,21,270
agv,AGV30,32,21,270
