type,name,x,y,pitch
map_size,,35,21,
start_point,SP1,1,3,
start_point,SP2,1,6,
start_point,SP3,1,9,
start_point,SP4,1,12,
start_point,SP5,1,15,
start_point,SP6,1,18,
start_point,SP7,35,3,
start_point,SP8,35,6,
start_point,SP9,35,9,
start_point,SP10,35,12,
start_point,SP11,35,15,
start_point,SP12,35,18,
end_point,EP1,9,3,
end_point,EP2,9,7,
end_point,EP3,11,3,
end_point,EP4,11,7,
end_point,EP5,12,4,
end_point,EP6,12,6,
end_point,EP7,8,4,
end_point,EP8,8,6,
end_point,EP9,9,15,
end_point,EP10,9,19,
end_point,EP11,11,15,
end_point,EP12,11,19,
end_point,EP13,12,16,
end_point,EP14,12,18,
end_point,EP15,8,16,
end_point,EP16,8,18,
end_point,EP17,25,3,
end_point,EP18,25,7,
end_point,EP19,27,3,
end_point,EP20,27,7,
end_point,EP21,28,4,
end_point,EP22,28,6,
end_point,EP23,24,4,
end_point,EP24,24,6,
end_point,EP25,25,15,
end_point,EP26,25,19,
end_point,EP27,27,15,
end_point,EP28,27,19,
end_point,EP29,28,16,
end_point,EP30,28,18,
end_point,EP31,24,16,
end_point,EP32,24,18,
end_point,EP33,17,9,
end_point,EP34,17,13,
end_point,EP35,19,9,
end_point,EP36,19,13,
end_point,EP37,20,10,
end_point,EP38,20,12,
end_point,EP39,16,10,
end_point,EP40,16,12,
obstacle,,16,9,
obstacle,,16,11,
obstacle,,16,13,
obstacle,,17,10,
obstacle,,17,11,
obstacle,,17,12,
obstacle,,18,9,
obstacle,,18,10,
obstacle,,18,11,
obstacle,,18,12,
obstacle,,18,13,
obstacle,,19,10,
obstacle,,19,11,
obstacle,,19,12,
obstacle,,20,9,
obstacle,,20,11,
obstacle,,20,13,
obstacle,,8,15,
obstacle,,8,17,
obstacle,,8,19,
obstacle,,9,16,
obstacle,,9,17,
obstacle,,9,18,
obstacle,,10,15,
obstacle,,10,16,
obstacle,,10,17,
obstacle,,10,18,
obstacle,,10,19,
obstacle,,11,16,
obstacle,,11,17,
obstacle,,11,18,
obstacle,,12,15,
obstacle,,12,17,
obstacle,,12,19,
obstacle,,24,15,
obstacle,,24,17,
obstacle,,24,19,
obstacle,,25,16,
obstacle,,25,17,
obstacle,,25,18,
obstacle,,26,15,
obstacle,,26,16,
obstacle,,26,17,
obstacle,,26,18,
obstacle,,26,19,
obstacle,,27,16,
obstacle,,27,17,
obstacle,,27,18,
obstacle,,28,15,
obstacle,,28,17,
obstacle,,28,19,
obstacle,,8,3,
obstacle,,8,5,
obstacle,,8,7,
obstacle,,9,4,
obstacle,,9,5,
obstacle,,9,6,
obstacle,,10,3,
obstacle,,10,4,
obstacle,,10,5,
obstacle,,10,6,
obstacle,,10,7,
obstacle,,11,4,
obstacle,,11,5,
obstacle,,11,6,
obstacle,,12,3,
obstacle,,12,5,
obstacle,,12,7,
obstacle,,24,3,
obstacle,,24,5,
obstacle,,24,7,
obstacle,,25,4,
obstacle,,25,5,
obstacle,,25,6,
obstacle,,26,3,
obstacle,,26,4,
obstacle,,26,5,
obstacle,,26,6,
obstacle,,26,7,
obstacle,,27,4,
obstacle,,27,5,
obstacle,,27,6,
obstacle,,28,3,
obstacle,,28,5,
obstacle,,28,7,
agv,AGV1,6,1,90
agv,AGV2,7,1,90
agv,AGV3,8,1,90
agv,AGV4,9,1,90
agv,AGV5,10,1,90
agv,AGV6,11,1,90
agv,AGV7,12,1,90
agv,AGV8,13,1,90
agv,AGV9,14,1,90
agv,AGV10,15,1,90
agv,AGV11,16,1,90
agv,AGV12,17,1,90
agv,AGV13,18,1,90
agv,AGV14,19,1,90
agv,AGV15,20,1,90
agv,AGV16,21,1,90
agv,AGV17,22,1,90
agv,AGV18,23,1,90
agv,AGV19,24,1,90
agv,AGV20,25,1,90
agv,AGV21,26,1,90
agv,AGV22,27,1,90
agv,AGV23,28,1,90
agv,AGV24,29,1,90
agv,AGV25,30,1,90
agv,AGV26,6,21,270
agv,AGV27,7,21,270
agv,AGV28,8,21,270
agv,AGV29,9,21,270
agv,AGV30,10,21,270
agv,AGV31,11,21,270
agv,AGV32,12,21,270
agv,AGV33,13,21,270
agv,AGV34,14,21,270
agv,AGV35,15,21,270
agv,AGV36,16,21,270
agv,AGV37,17,21,270
agv,AGV38,18,21,270
agv,AGV39,19,21,270
agv,AGV40,20,21,270
agv,AGV41,21,21,270
agv,AGV42,22,21,270
agv,AGV43,23,21,270
agv,AGV44,24,21,270
agv,AGV45,25,21,270
agv,AGV46,26,21,270
agv,AGV47,27,21,270
agv,AGV48,28,21,270
agv,AGV49,29,21,270
agv,AGV50,30,21,270
