task_id,start_point,end_point,priority,remaining_time
SP1-1,SP1,EP23,Normal,None
SP1-2,SP1,EP39,Normal,None
SP1-3,SP1,EP17,Normal,None
SP1-4,SP1,EP3,Urgent,60
SP1-5,SP1,EP30,Normal,None
SP1-6,SP1,EP35,Normal,None
SP1-7,SP1,EP8,Normal,None
SP1-8,SP1,EP25,Normal,None
SP1-9,SP1,EP6,Normal,None
SP1-10,SP1,EP36,Normal,None
SP1-11,SP1,EP19,Normal,None
SP1-12,SP1,EP40,Normal,None
SP1-13,SP1,EP24,Urgent,195
SP1-14,SP1,EP37,Urgent,210
SP1-15,SP1,EP13,Normal,None
SP1-16,SP1,EP5,Urgent,240
SP1-17,SP1,EP3,Urgent,255
SP1-18,SP1,EP15,Normal,None
SP1-19,SP1,EP19,Normal,None
SP1-20,SP1,EP6,Normal,None
SP1-21,SP1,EP15,Normal,None
SP1-22,SP1,EP7,Normal,None
SP1-23,SP1,EP25,Normal,None
SP1-24,SP1,EP18,Normal,None
SP1-25,SP1,EP30,Normal,None
SP1-26,SP1,EP24,Normal,None
SP1-27,SP1,EP11,Normal,None
SP1-28,SP1,EP24,Normal,None
SP1-29,SP1,EP23,Normal,None
SP1-30,SP1,EP14,Normal,None
SP1-31,SP1,EP18,Normal,None
SP1-32,SP1,EP5,Normal,None
SP1-33,SP1,EP39,Normal,None
SP1-34,SP1,EP11,Normal,None
SP1-35,SP1,EP35,Normal,None
SP1-36,SP1,EP16,Normal,None
SP1-37,SP1,EP11,Normal,None
SP1-38,SP1,EP30,Normal,None
SP1-39,SP1,EP25,Normal,None
SP1-40,SP1,EP18,Normal,None
SP1-41,SP1,EP36,Normal,None
SP1-42,SP1,EP15,Normal,None
SP2-1,SP2,EP21,Normal,None
SP2-2,SP2,EP4,Normal,None
SP2-3,SP2,EP15,Urgent,45
SP2-4,SP2,EP3,Normal,None
SP2-5,SP2,EP21,Normal,None
SP2-6,SP2,EP26,Urgent,90
SP2-7,SP2,EP18,Normal,None
SP2-8,SP2,EP5,Urgent,120
SP2-9,SP2,EP14,Normal,None
SP2-10,SP2,EP37,Normal,None
SP2-11,SP2,EP21,Urgent,165
SP2-12,SP2,EP14,Normal,None
SP2-13,SP2,EP32,Normal,None
SP2-14,SP2,EP26,Normal,None
SP2-15,SP2,EP30,Normal,None
SP2-16,SP2,EP10,Urgent,240
SP2-17,SP2,EP17,Normal,None
SP2-18,SP2,EP9,Normal,None
SP2-19,SP2,EP16,Normal,None
SP2-20,SP2,EP36,Normal,None
SP2-21,SP2,EP35,Normal,None
SP2-22,SP2,EP17,Normal,None
SP2-23,SP2,EP38,Normal,None
SP2-24,SP2,EP28,Normal,None
SP2-25,SP2,EP38,Normal,None
SP2-26,SP2,EP26,Normal,None
SP2-27,SP2,EP24,Normal,None
SP2-28,SP2,EP15,Normal,None
SP2-29,SP2,EP9,Normal,None
SP2-30,SP2,EP33,Urgent,450
SP2-31,SP2,EP32,Normal,None
SP2-32,SP2,EP6,Normal,None
SP2-33,SP2,EP4,Normal,None
SP2-34,SP2,EP8,Normal,None
SP2-35,SP2,EP10,Normal,None
SP2-36,SP2,EP11,Normal,None
SP2-37,SP2,EP28,Normal,None
SP2-38,SP2,EP39,Urgent,570
SP2-39,SP2,EP5,Normal,None
SP2-40,SP2,EP25,Urgent,600
SP2-41,SP2,EP25,Normal,None
SP2-42,SP2,EP39,Normal,None
SP3-1,SP3,EP30,Normal,None
SP3-2,SP3,EP34,Normal,None
SP3-3,SP3,EP17,Normal,None
SP3-4,SP3,EP36,Normal,None
SP3-5,SP3,EP1,Normal,None
